student_id,academic_year,major,facility_rated,satisfaction_score,timestamp
1001,3rd,Mechanical,Sports Center,3,2024-01-01 00:00:00
1002,4th,Mechanical,Library,5,2024-01-01 01:00:00
1003,1st,CSE,Sports Center,4,2024-01-01 02:00:00
1004,3rd,ECE,Library,3,2024-01-01 03:00:00
1005,3rd,AI&DS,Cafeteria,2,2024-01-01 04:00:00
1006,4th,CSE,Sports Center,5,2024-01-01 05:00:00
1007,1st,AI&DS,Library,5,2024-01-01 06:00:00
1008,1st,AI&DS,Library,3,2024-01-01 07:00:00
1009,3rd,ECE,Sports Center,3,2024-01-01 08:00:00
1010,2nd,AI&DS,Cafeteria,4,2024-01-01 09:00:00
1011,3rd,AI&DS,Cafeteria,1,2024-01-01 10:00:00
1012,3rd,ECE,Cafeteria,3,2024-01-01 11:00:00
1013,3rd,AI&DS,Library,3,2024-01-01 12:00:00
1014,3rd,AI&DS,Library,2,2024-01-01 13:00:00
1015,4th,AI&DS,Library,5,2024-01-01 14:00:00
1016,1st,CSE,Library,1,2024-01-01 15:00:00
1017,4th,CSE,Cafeteria,2,2024-01-01 16:00:00
1018,4th,CSE,Sports Center,4,2024-01-01 17:00:00
1019,4th,ECE,Library,4,2024-01-01 18:00:00
1020,3rd,Mechanical,Library,3,2024-01-01 19:00:00
1021,2nd,AI&DS,Cafeteria,3,2024-01-01 20:00:00
1022,1st,AI&DS,Sports Center,4,2024-01-01 21:00:00
1023,2nd,ECE,Sports Center,3,2024-01-01 22:00:00
1024,4th,AI&DS,Cafeteria,1,2024-01-01 23:00:00
1025,4th,CSE,Cafeteria,3,2024-01-02 00:00:00
1026,2nd,Mechanical,Sports Center,5,2024-01-02 01:00:00
1027,2nd,EEE,Library,3,2024-01-02 02:00:00
1028,2nd,AI&DS,Sports Center,2,2024-01-02 03:00:00
1029,4th,CSE,Cafeteria,1,2024-01-02 04:00:00
1030,4th,EEE,Library,2,2024-01-02 05:00:00
1031,1st,Mechanical,Library,2,2024-01-02 06:00:00
1032,1st,EEE,Cafeteria,5,2024-01-02 07:00:00
1033,4th,CSE,Cafeteria,1,2024-01-02 08:00:00
1034,2nd,EEE,Cafeteria,1,2024-01-02 09:00:00
1035,2nd,ECE,Sports Center,1,2024-01-02 10:00:00
1036,1st,EEE,Sports Center,1,2024-01-02 11:00:00
1037,4th,AI&DS,Library,1,2024-01-02 12:00:00
1038,1st,AI&DS,Cafeteria,5,2024-01-02 13:00:00
1039,1st,ECE,Library,3,2024-01-02 14:00:00
1040,3rd,CSE,Library,2,2024-01-02 15:00:00
1041,3rd,AI&DS,Library,1,2024-01-02 16:00:00
1042,3rd,Mechanical,Library,3,2024-01-02 17:00:00
1043,2nd,AI&DS,Cafeteria,3,2024-01-02 18:00:00
1044,4th,AI&DS,Library,2,2024-01-02 19:00:00
1045,4th,CSE,Cafeteria,5,2024-01-02 20:00:00
1046,4th,EEE,Cafeteria,4,2024-01-02 21:00:00
